Simulation time (in s): 1000
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 100
Percentage of mining power of adversary-1 (zeta1): 50
Percentage of mining power of adversary-2 (zeta2): 0
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Fast,Low CPU
4,Fast,Low CPU
5,Fast,Low CPU
6,Slow,Low CPU
7,Fast,Low CPU
8,Fast,Low CPU
9,Slow,Low CPU
10,Slow,Low CPU
11,Fast,Low CPU
12,Slow,Low CPU
13,Slow,Low CPU
14,Fast,Low CPU
15,Slow,Low CPU
16,Fast,Low CPU
17,Fast,Low CPU
18,Slow,Low CPU
19,Fast,Low CPU
20,Fast,Low CPU
21,Fast,Low CPU
22,Fast,Low CPU
23,Fast,Low CPU
24,Fast,Low CPU
25,Slow,Low CPU
26,Fast,Low CPU
27,Slow,Low CPU
28,Fast,Low CPU
29,Fast,Low CPU
30,Slow,Low CPU
31,Fast,Low CPU
32,Slow,Low CPU
33,Fast,Low CPU
34,Slow,Low CPU
35,Slow,Low CPU
36,Slow,Low CPU
37,Fast,Low CPU
38,Slow,Low CPU
39,Fast,Low CPU
40,Fast,Low CPU
41,Slow,Low CPU
42,Fast,Low CPU
43,Slow,Low CPU
44,Fast,Low CPU
45,Slow,Low CPU
46,Slow,Low CPU
47,Slow,Low CPU
48,Fast,Low CPU
49,Fast,Low CPU
50,Fast,Low CPU
51,Slow,Low CPU
52,Slow,Low CPU
53,Slow,Low CPU
54,Slow,Low CPU
55,Slow,Low CPU
56,Slow,Low CPU
57,Fast,Low CPU
58,Fast,Low CPU
59,Slow,Low CPU
60,Fast,Low CPU
61,Fast,Low CPU
62,Fast,Low CPU
63,Slow,Low CPU
64,Slow,Low CPU
65,Fast,Low CPU
66,Slow,Low CPU
67,Fast,Low CPU
68,Fast,Low CPU
69,Slow,Low CPU
70,Slow,Low CPU
71,Fast,Low CPU
72,Fast,Low CPU
73,Slow,Low CPU
74,Fast,Low CPU
75,Slow,Low CPU
76,Slow,Low CPU
77,Slow,Low CPU
78,Slow,Low CPU
79,Slow,Low CPU
80,Fast,Low CPU
81,Fast,Low CPU
82,Slow,Low CPU
83,Fast,Low CPU
84,Fast,Low CPU
85,Slow,Low CPU
86,Fast,Low CPU
87,Fast,Low CPU
88,Fast,Low CPU
89,Slow,Low CPU
90,Slow,Low CPU
91,Slow,Low CPU
92,Fast,Low CPU
93,Slow,Low CPU
94,Fast,Low CPU
95,Fast,Low CPU
96,Fast,Low CPU
97,Fast,Low CPU
98,Fast,Low CPU
99,Slow,Low CPU
100,Slow,Low CPU
