BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
2db1a9e4a1eac0676e44801508530d0ec7b77a70829caf66edeadbbf55cfc529,0,NULL,0,0,0,0
0bca82ef602ad31fd03271f934954fc6071c4c32f8d78215bb8f46cbf4bdaa48,785.6656596023571,2db1a9e4a1eac0676e44801508530d0ec7b77a70829caf66edeadbbf55cfc529,1,0,2,0
bc6a1aa031fd97086429bf4f41178a261b96a598ec3b9e7aacb1ba1e426a7075,5756.097689977642,2db1a9e4a1eac0676e44801508530d0ec7b77a70829caf66edeadbbf55cfc529,46,0,0,0
4ff7ce07c633bb7d9935d727e323d2e1e4883c2d67324954b13d36f1e2a99d3d,6264.862153047035,2db1a9e4a1eac0676e44801508530d0ec7b77a70829caf66edeadbbf55cfc529,2,0,3,0
446da9b27e555d6183eb1498572032b6a0f323438d3583bb6266ae4902648ee6,2660.593158008582,0bca82ef602ad31fd03271f934954fc6071c4c32f8d78215bb8f46cbf4bdaa48,1,0,2,0
48a8025ca83adccb3bbf19338096ca22312eca79c874724ef8007fbb1f1e4f07,7938.028247807688,bc6a1aa031fd97086429bf4f41178a261b96a598ec3b9e7aacb1ba1e426a7075,35,0,0,0
163013ba5cf39c83dbc3668d0bad3870b2a09cd9adfd2e8284b43b709b31db8d,6029.911905450245,446da9b27e555d6183eb1498572032b6a0f323438d3583bb6266ae4902648ee6,1,0,2,0
ad1f30ac4fb6b8ece07ff53f7a8707e46c8573a1e03ad6c35f70169f53052850,21278.656810780038,446da9b27e555d6183eb1498572032b6a0f323438d3583bb6266ae4902648ee6,92,1,0,0
e37a45b63818cead277b0d947fc046197206f7a0b26595513f616cb4e5aec04c,21526.08641645393,446da9b27e555d6183eb1498572032b6a0f323438d3583bb6266ae4902648ee6,2,0,3,0
4fc1c96f95c89900c1629beef8852b439a42f20f8d8e4fc8f7bd6d9a5377cbe4,7337.24614731395,163013ba5cf39c83dbc3668d0bad3870b2a09cd9adfd2e8284b43b709b31db8d,1,0,2,0
b1edad6c656e0f77584bdb616a4347dec27fa48f26909231bf02c69033e602df,27141.648862692397,ad1f30ac4fb6b8ece07ff53f7a8707e46c8573a1e03ad6c35f70169f53052850,21,0,0,0
3bda81c4e693960445cd9d30b44eea2b707d64cb200d901e710d7b9fe647f021,10925.74792668076,4fc1c96f95c89900c1629beef8852b439a42f20f8d8e4fc8f7bd6d9a5377cbe4,1,0,2,0
a6dbae5923c2b35088e5e554846b0c53748616f58dbb21aa9fc5dbb209f2d92b,31548.778826600384,3bda81c4e693960445cd9d30b44eea2b707d64cb200d901e710d7b9fe647f021,31,1,0,0
143a061d7385e06cca21ce6195feb1e461a5bb313d59ef26ab5040a5b64c0487,36542.164291399386,a6dbae5923c2b35088e5e554846b0c53748616f58dbb21aa9fc5dbb209f2d92b,31,1,0,0
4429e559018833cd97e576af56c5a9cbee0dce3518b0d60436c10625d3f16856,40927.85546830326,143a061d7385e06cca21ce6195feb1e461a5bb313d59ef26ab5040a5b64c0487,1,0,2,0
2da4299fde03fcaa0dd7ff58cfb5291c3ddc2b710c87bb02a5b533fe8f34b485,59316.16403229959,143a061d7385e06cca21ce6195feb1e461a5bb313d59ef26ab5040a5b64c0487,37,1,0,0
7385f863a2c7301b64d045bdfc87c0998bc86c89b04b9b2af3214eecc284e4e9,59885.37228957417,143a061d7385e06cca21ce6195feb1e461a5bb313d59ef26ab5040a5b64c0487,74,0,0,0
4aa231d08fcd7f3edb81515461f9cf2e5d4d009178f4241f5cee30b0f898149a,48632.53089321504,4429e559018833cd97e576af56c5a9cbee0dce3518b0d60436c10625d3f16856,1,0,2,0
4386b7ac1163a94731a294f84054b73c3146a4218617e6033c97b6fe718e7184,70155.30642187702,2da4299fde03fcaa0dd7ff58cfb5291c3ddc2b710c87bb02a5b533fe8f34b485,72,0,0,0
d333c4ba0b89bdfa8b54fcc76f041b99ed78b595429c6cd6bf407d8f47b7a864,58952.17752903218,4aa231d08fcd7f3edb81515461f9cf2e5d4d009178f4241f5cee30b0f898149a,1,0,2,0
006ac4619bb2e1a694b43e2d42a8d8fdf28d6fad858b042bafaa25adc33bfa3f,79512.67619535117,4386b7ac1163a94731a294f84054b73c3146a4218617e6033c97b6fe718e7184,48,1,1,0
1dc3d7eba98f4cc58456d9e4cd684154dfd47f630234b0567c6c32a6afa41b45,79825.06765586941,4386b7ac1163a94731a294f84054b73c3146a4218617e6033c97b6fe718e7184,2,0,3,0
2626438d9029d04ddd71cd1d8e99b313eea57bb4e965bb6c4542d63c61c6a994,61442.93408673159,d333c4ba0b89bdfa8b54fcc76f041b99ed78b595429c6cd6bf407d8f47b7a864,1,0,2,0
42e8a01d932cb7671a20371ee15b1acf1b84ea915e9ca19b51928553876b3563,95941.08566671246,2626438d9029d04ddd71cd1d8e99b313eea57bb4e965bb6c4542d63c61c6a994,16,1,0,0
34c2eab28c25b207a9202e78c7a2592604c809626d2330093d1371a718335fe7,96606.64225910517,2626438d9029d04ddd71cd1d8e99b313eea57bb4e965bb6c4542d63c61c6a994,2,0,3,0
70036e2620f583e41891e3bf4c59c10f8beb6f68109b1f5d1973978adcf4d6ea,96607.17650354977,34c2eab28c25b207a9202e78c7a2592604c809626d2330093d1371a718335fe7,2,0,3,0
a85a4062bd104c784335918075744f61fd630aea97a161ef2277bfb094033027,101169.01423002259,70036e2620f583e41891e3bf4c59c10f8beb6f68109b1f5d1973978adcf4d6ea,1,0,2,0
fd7f4f55b9bf0a575d43ef732621257747aabfd9308ddaae2c9e8958ec2e7599,101292.38939954498,70036e2620f583e41891e3bf4c59c10f8beb6f68109b1f5d1973978adcf4d6ea,14,0,0,0
bc1d8ff2b996c30cf57c9c3cbd2c68d66a6615197d92a4b8e3934784e158a8e3,105088.56486330304,fd7f4f55b9bf0a575d43ef732621257747aabfd9308ddaae2c9e8958ec2e7599,57,1,0,0
f1be49f7c79913c94184fa2b2e31e4766cca1419ccda6a1bd8e3a1a5f35f2c9a,110383.35701591134,bc1d8ff2b996c30cf57c9c3cbd2c68d66a6615197d92a4b8e3934784e158a8e3,47,0,0,0
a3f39325e49a7993ac7d99c2eb9a2706af3550c08627321aadd418c1306952f7,114599.59483290726,f1be49f7c79913c94184fa2b2e31e4766cca1419ccda6a1bd8e3a1a5f35f2c9a,1,0,2,0
c301b9aaa02ca39636cc65173244f240f460cac79456e7b9b384cee0c4972189,154463.70339030033,f1be49f7c79913c94184fa2b2e31e4766cca1419ccda6a1bd8e3a1a5f35f2c9a,15,0,0,0
987415898726dbc14c2b0ad696847b07a76f6b5088b166dc42296e309455b1c8,155169.24622156913,f1be49f7c79913c94184fa2b2e31e4766cca1419ccda6a1bd8e3a1a5f35f2c9a,2,0,3,0
9085ec188a6c98d22152ce7c7eac578c3a9db9fe507f8ab1228da62596a1d806,116830.03635170216,a3f39325e49a7993ac7d99c2eb9a2706af3550c08627321aadd418c1306952f7,1,0,2,0
b9a75c0c764b71853bcef0027503c7a934b18c52416fa0d43bc0b10341f46cf3,155205.8688219656,987415898726dbc14c2b0ad696847b07a76f6b5088b166dc42296e309455b1c8,2,0,3,0
e5d8b26f6255f1889be3e36574aa36b84e719d4149488224156f98313e27a0d1,127244.08770444115,9085ec188a6c98d22152ce7c7eac578c3a9db9fe507f8ab1228da62596a1d806,1,0,2,0
39fcc74692503ba7ca9780b667a4970c6774693d9f7f7491f5670234180dd1de,198414.0753869246,b9a75c0c764b71853bcef0027503c7a934b18c52416fa0d43bc0b10341f46cf3,11,0,0,0
4d50055569b665f3aa1926ce7bdba5c29eb4ff796dad9aa64f7e64969d168727,198522.97677324226,b9a75c0c764b71853bcef0027503c7a934b18c52416fa0d43bc0b10341f46cf3,2,0,3,0
9d05d313bdaffd3709537b59577659fa2333fa826c5ead3807d24ab42611cc82,132344.05807372645,e5d8b26f6255f1889be3e36574aa36b84e719d4149488224156f98313e27a0d1,1,0,2,0
eb8542828450972c26b9a2bc3677549dcc94da59c6f44a53c786c669ef7abf52,198539.5792171561,4d50055569b665f3aa1926ce7bdba5c29eb4ff796dad9aa64f7e64969d168727,2,0,3,0
4e0453f76d6574b4545187f1cd8df63614b45dbce4d3277a11de8e9a727a2542,144708.8739528371,9d05d313bdaffd3709537b59577659fa2333fa826c5ead3807d24ab42611cc82,1,0,2,0
08d8c88481cd1740eedc349ee87add88728a8acdfd11ce2b9d75f8d5fed10436,215151.77879202878,eb8542828450972c26b9a2bc3677549dcc94da59c6f44a53c786c669ef7abf52,32,0,0,0
6e01d7369cee65ac31a7c0544dd811cf3d363f8e6a3473b3bbca4e7a29c77a6c,215339.94885505838,eb8542828450972c26b9a2bc3677549dcc94da59c6f44a53c786c669ef7abf52,2,0,3,0
