Simulation time (in s): 500
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 100
Percentage of mining power of adversary-1 (zeta1): 20
Percentage of mining power of adversary-2 (zeta2): 70
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Fast,Low CPU
4,Fast,Low CPU
5,Fast,Low CPU
6,Slow,Low CPU
7,Slow,Low CPU
8,Fast,Low CPU
9,Slow,Low CPU
10,Slow,Low CPU
11,Fast,Low CPU
12,Slow,Low CPU
13,Fast,Low CPU
14,Slow,Low CPU
15,Slow,Low CPU
16,Fast,Low CPU
17,Fast,Low CPU
18,Slow,Low CPU
19,Slow,Low CPU
20,Slow,Low CPU
21,Slow,Low CPU
22,Slow,Low CPU
23,Slow,Low CPU
24,Fast,Low CPU
25,Fast,Low CPU
26,Slow,Low CPU
27,Fast,Low CPU
28,Fast,Low CPU
29,Fast,Low CPU
30,Fast,Low CPU
31,Fast,Low CPU
32,Slow,Low CPU
33,Slow,Low CPU
34,Fast,Low CPU
35,Fast,Low CPU
36,Slow,Low CPU
37,Fast,Low CPU
38,Fast,Low CPU
39,Slow,Low CPU
40,Fast,Low CPU
41,Fast,Low CPU
42,Slow,Low CPU
43,Slow,Low CPU
44,Slow,Low CPU
45,Fast,Low CPU
46,Slow,Low CPU
47,Slow,Low CPU
48,Fast,Low CPU
49,Slow,Low CPU
50,Slow,Low CPU
51,Slow,Low CPU
52,Slow,Low CPU
53,Fast,Low CPU
54,Fast,Low CPU
55,Slow,Low CPU
56,Fast,Low CPU
57,Slow,Low CPU
58,Slow,Low CPU
59,Fast,Low CPU
60,Fast,Low CPU
61,Fast,Low CPU
62,Slow,Low CPU
63,Slow,Low CPU
64,Fast,Low CPU
65,Fast,Low CPU
66,Slow,Low CPU
67,Fast,Low CPU
68,Slow,Low CPU
69,Fast,Low CPU
70,Fast,Low CPU
71,Fast,Low CPU
72,Fast,Low CPU
73,Slow,Low CPU
74,Fast,Low CPU
75,Fast,Low CPU
76,Slow,Low CPU
77,Slow,Low CPU
78,Slow,Low CPU
79,Fast,Low CPU
80,Fast,Low CPU
81,Fast,Low CPU
82,Slow,Low CPU
83,Fast,Low CPU
84,Fast,Low CPU
85,Slow,Low CPU
86,Slow,Low CPU
87,Slow,Low CPU
88,Slow,Low CPU
89,Fast,Low CPU
90,Slow,Low CPU
91,Slow,Low CPU
92,Fast,Low CPU
93,Fast,Low CPU
94,Fast,Low CPU
95,Slow,Low CPU
96,Fast,Low CPU
97,Fast,Low CPU
98,Slow,Low CPU
99,Slow,Low CPU
100,Slow,Low CPU
